tx_hash,block_number,from,to,value_wei,gas_used,gas_price_wei,input_hex,nonce,timestamp,is_fraud
0x0001,19000001,0xalice,0xbob,500000000000000000,21000,20000000000,,10,1700000000,0
0x0002,19000001,0xalice,0xcharlie,1000000000000000000,21000,20000000000,,11,1700000012,0
0x0003,19000002,0xbob,0xdave,300000000000000000,21000,20000000000,,5,1700000024,0
0x0004,19000002,0xcharlie,0xeve,2000000000000000000,21000,20000000000,,20,1700000036,0
0x0005,19000003,0xdave,0xalice,100000000000000000,21000,20000000000,,8,1700000048,0
0x0006,19000003,0xeve,0xbob,1500000000000000000,21000,20000000000,,15,1700000060,0
0x0007,19000004,0xalice,0xdave,800000000000000000,21000,20000000000,,12,1700000072,0
0x0008,19000004,0xbob,0xcharlie,3000000000000000000,21000,20000000000,,6,1700000084,0
0x0009,19000005,0xcharlie,0xalice,200000000000000000,21000,20000000000,,21,1700000096,0
0x0010,19000005,0xdave,0xeve,1000000000000000000,21000,20000000000,,9,1700000108,0
0x0011,19000006,0xfrank,0xgeorge,500000000000000000,21000,20000000000,,3,1700000120,0
0xf001,19000006,0xivan,0xbob,500000000000000000000,21000,20000000000,,0,1700000132,1
0x0012,19000007,0xalice,0xbob,1200000000000000000,21000,20000000000,,13,1700000144,0
0xf002,19000007,0xmallory,0xalice,200000000000000000000,21000,20000000000,,0,1700000156,1
0x0013,19000008,0xbob,0xdave,400000000000000000,21000,20000000000,,7,1700000168,0
0x0014,19000008,0xeve,0xcharlie,2500000000000000000,21000,20000000000,,16,1700000180,0
0x0015,19000009,0xfrank,0xeve,700000000000000000,21000,20000000000,,4,1700000192,0
0x0016,19000009,0xgeorge,0xfrank,1000000000000000000,21000,20000000000,,2,1700000204,0
0x0017,19000010,0xalice,0xeve,300000000000000000,21000,20000000000,,14,1700000216,0
0x0018,19000010,0xbob,0xalice,1800000000000000000,21000,20000000000,,8,1700000228,0
0x0019,19000011,0xcharlie,0xdave,600000000000000000,21000,20000000000,,22,1700000240,0
0x0020,19000011,0xdave,0xbob,2000000000000000000,21000,20000000000,,10,1700000252,0
0xf003,19000012,0xsybil,,0,5000000,20000000000,608060405234801561001057600080fd5b50610100,0,1700000264,1
0x0021,19000012,0xeve,0xgeorge,900000000000000000,21000,20000000000,,17,1700000276,0
0x0022,19000013,0xfrank,0xcharlie,1500000000000000000,21000,20000000000,,5,1700000288,0
0x0023,19000013,0xgeorge,0xdave,400000000000000000,21000,20000000000,,3,1700000300,0
0xf004,19000014,0xdrainer,0xalice,150000000000000000000,21000,20000000000,,0,1700000312,1
0x0024,19000014,0xalice,0xbob,1000000000000000000,21000,20000000000,,15,1700000324,0
0xf005,19000015,0xattacker,,10000000000000000,8000000,50000000000,608060405234801561001057600080fd5b506101006080604052,0,1700000336,1
0x0025,19000015,0xbob,0xcharlie,600000000000000000,21000,20000000000,,9,1700000348,0
0xf006,19000016,0xwhale,0xdave,300000000000000000000,21000,20000000000,,1,1700000360,1
0x0026,19000016,0xcharlie,0xeve,1300000000000000000,21000,20000000000,,23,1700000372,0
0xf007,19000017,0xflashbot,0xbob,80000000000000000000,42000,20000000000,0xa9059cbb0000000000000001,0,1700000384,1
0x0027,19000017,0xdave,0xalice,700000000000000000,21000,20000000000,,11,1700000396,0
0xf008,19000018,0xmixer,0xeve,100000000000000000000,21000,20000000000,0xa9059cbb0000000000000001,0,1700000408,1
0x0028,19000018,0xeve,0xfrank,2000000000000000000,21000,20000000000,,18,1700000420,0
0xf009,19000019,0xrugpull,,50000000000000000000,3000000,20000000000,608060405234801561001057600080fd5b50,0,1700000432,1
0x0029,19000019,0xfrank,0xgeorge,800000000000000000,21000,20000000000,,6,1700000444,0
0x0030,19000020,0xgeorge,0xalice,1500000000000000000,21000,20000000000,,4,1700000456,0
0xf010,19000020,0xexploit,0xbob,1000000000000000000000,21000,20000000000,,0,1700000468,1
